lon,lat,clase,temperatura_media,rango_diurno,precipitacion_anual,estacionalidad_precip,precip_trimestre_seco,elevacion,ph_suelo
118.013054,29.941719,1,14.924833297729492,7.618333339691162,1670.0,54.601158142089844,158.0,429.0,5.4
47.241323,-20.521527,1,16.620458602905273,11.176250457763672,1437.0,87.08092498779297,72.0,1472.0,5.4
121.50318,25.1637,1,20.207000732421875,5.704166889190674,3005.0,26.002685546875,554.0,256.0,4.7
121.741242,24.805763,1,20.652042388916016,5.553583145141602,3160.0,35.26810836791992,509.0,297.0,4.9
120.603078,23.564246,1,19.789417266845703,5.974332809448242,2526.0,91.66825866699219,76.0,748.0,5.2
76.10848,11.539204,1,21.29970932006836,8.423583030700684,3698.0,126.6474380493164,35.0,996.0,5.4
121.570472,24.90008,1,19.543790817260742,5.388583183288574,3065.0,39.15346145629883,453.0,441.0,4.7
81.044597,6.858987,1,21.478166580200195,7.910666465759277,1860.0,57.36178207397461,153.0,1059.0,5.4
48.41779,-18.934869,1,19.01799964904785,10.473166465759277,1900.0,68.70507049560547,193.0,1003.0,4.9
-43.5096,-20.433706,1,17.450000762939453,11.352999687194824,1518.0,81.60735321044922,56.0,1258.0,5.1
120.650688,23.421033,1,20.209625244140625,5.978083610534668,2588.0,93.1470947265625,75.0,665.0,4.9
136.547928,35.072211,1,14.943375587463379,8.698083877563477,1781.0,49.221988677978516,186.0,55.0,5.4
121.11706,24.704932,1,20.3680419921875,6.200250148773193,2285.0,55.598121643066406,184.0,311.0,5.1
55.445554,-4.637608,1,26.01388931274414,5.563756465911865,2358.0,41.766082763671875,338.0,226.0,5.6
29.354467,-1.831263,1,15.873083114624023,10.090832710266113,1517.0,44.35922622680664,124.0,2244.0,4.9
121.361803,24.982822,1,21.199501037597656,6.2226667404174805,2529.0,32.551124572753906,364.0,103.0,4.9
121.355369,24.984564,1,21.199501037597656,6.2226667404174805,2529.0,32.551124572753906,364.0,103.0,5.1
138.327559,34.920329,1,14.825666427612305,7.847833633422852,2118.0,41.26893997192383,235.0,184.0,5.0
140.331192,35.714615,1,14.85925006866455,8.270166397094727,1393.0,39.527984619140625,170.0,33.0,5.5
48.420667,-18.937668,1,19.01799964904785,10.473166465759277,1900.0,68.70507049560547,193.0,1003.0,4.7
48.413811,-18.937717,1,19.079750061035156,10.926166534423828,1766.0,72.35250854492188,168.0,968.0,4.8
120.913011,24.469458,1,20.038084030151367,6.1579999923706055,2290.0,73.99282836914062,110.0,411.0,5.4
121.091653,29.621447,1,14.500499725341797,7.516000270843506,1378.0,46.77227020263672,149.0,432.0,5.7
47.231113,-20.51806,1,16.620458602905273,11.176250457763672,1437.0,87.08092498779297,72.0,1472.0,5.3
135.749987,33.859433,1,13.164833068847656,7.381999969482422,2148.0,48.595306396484375,204.0,564.0,5.3
80.695411,7.16255,1,19.980499267578125,8.117500305175781,2346.0,34.60593795776367,417.0,1280.0,5.0
91.729644,24.306395,1,24.813833236694336,10.642666816711426,2325.0,82.21497344970703,45.0,18.0,5.5
80.631269,7.250304,1,24.388166427612305,8.46833324432373,2352.0,38.60660171508789,403.0,562.0,5.4
-84.290576,33.779895,1,16.429332733154297,11.482500076293945,1309.0,15.549148559570312,277.0,307.0,5.2
131.271003,33.968811,1,15.713288307189941,7.150450229644775,1714.0,53.30907440185547,191.0,34.0,5.5
120.936265,23.923351,1,20.758499145507812,6.6641669273376465,2474.0,80.86075592041016,113.0,519.0,5.1
121.335183,24.846179,1,19.85416603088379,5.7804999351501465,2685.0,42.74913787841797,318.0,356.0,5.3
-84.322764,33.776581,1,16.429332733154297,11.482500076293945,1309.0,15.549148559570312,277.0,307.0,5.2
80.631233,7.252367,1,24.388166427612305,8.46833324432373,2352.0,38.60660171508789,403.0,562.0,5.3
121.498848,25.172383,1,20.425954818725586,5.729217052459717,2945.0,24.2525577545166,606.0,109.0,4.7
81.061928,6.866136,1,21.478166580200195,7.910666465759277,1860.0,57.36178207397461,153.0,1059.0,5.5
135.773906,34.999919,1,15.328916549682617,8.96933364868164,1577.0,46.65379333496094,183.0,70.0,5.5
-43.521111,-20.439722,1,17.450000762939453,11.352999687194824,1518.0,81.60735321044922,56.0,1258.0,5.0
-43.502495,-20.433433,1,17.450000762939453,11.352999687194824,1518.0,81.60735321044922,56.0,1258.0,5.0
-43.506889,-20.426947,1,17.450000762939453,11.352999687194824,1518.0,81.60735321044922,56.0,1258.0,5.1
48.417854,-18.938232,1,19.01799964904785,10.473166465759277,1900.0,68.70507049560547,193.0,1003.0,4.8
76.89992,11.375382,1,19.51216697692871,9.40233325958252,1032.0,68.01504516601562,25.0,1277.0,6.4
135.981095,34.576262,1,12.968708038330078,8.704583168029785,1743.0,48.84344482421875,171.0,444.0,5.4
88.376832,27.04801,1,20.51474952697754,8.180999755859375,3253.0,111.30546569824219,39.0,1123.0,5.2
88.3388,27.110226,1,21.30816650390625,8.559000015258789,3202.0,109.14115905761719,39.0,1001.0,5.3
139.35933,35.556163,1,14.993499755859375,9.02316665649414,1577.0,45.80933380126953,160.0,95.0,5.5
138.406045,34.992735,1,15.925185203552246,8.277036666870117,2186.0,41.97844314575195,240.0,46.0,5.5
48.414458,-18.933233,1,19.079750061035156,10.926166534423828,1766.0,72.35250854492188,168.0,968.0,4.9
-55.601802,-27.352558,1,21.264375686645508,11.48941707611084,1721.0,15.898633003234863,341.0,131.0,5.2
48.414808,-18.932656,1,19.079750061035156,10.926166534423828,1766.0,72.35250854492188,168.0,968.0,4.9
48.416261,-18.935261,1,19.079750061035156,10.926166534423828,1766.0,72.35250854492188,168.0,968.0,4.9
119.331207,35.38237,1,12.771750450134277,9.074832916259766,857.0,100.43504333496094,37.0,69.0,6.7
119.453033,30.345483,1,11.748000144958496,7.291500091552734,1540.0,49.454139709472656,155.0,927.0,5.6
139.187897,35.810608,1,12.722999572753906,9.332499504089355,1402.0,55.609901428222656,118.0,382.0,5.4
80.578301,7.317687,1,24.439958572387695,8.175250053405762,2548.0,36.06209945678711,394.0,534.0,5.3
-122.61525,45.504972,1,11.911375045776367,10.971917152404785,1079.0,57.76248550415039,91.0,51.0,5.5
41.733029,41.716654,1,13.841464042663574,7.729268550872803,2220.0,32.084903717041016,342.0,102.0,5.5
122.38545,29.857617,1,16.669727325439453,5.389455795288086,1246.0,38.003379821777344,172.0,50.0,6.0
76.809904,11.354559,1,15.485166549682617,9.856332778930664,1130.0,65.04066467285156,33.0,1941.0,6.1
120.846444,24.372847,1,19.703832626342773,6.269499778747559,2375.0,77.03093719482422,109.0,530.0,5.3
121.287497,24.824337,1,19.032041549682617,5.607083320617676,2599.0,51.7043571472168,246.0,549.0,5.0
121.120181,23.994688,1,16.626625061035156,6.078916549682617,2333.0,63.64126205444336,154.0,1350.0,5.0
98.513212,18.585231,1,20.900999069213867,11.0,1077.0,80.8754653930664,24.0,1271.0,5.6
91.686215,22.702952,1,25.41866683959961,9.118999481201172,2798.0,101.93879699707031,31.0,41.0,5.5
80.698512,7.043347,1,18.547666549682617,8.148833274841309,2289.0,27.787918090820312,423.0,1515.0,5.3
121.555017,25.124194,1,20.207000732421875,5.704166889190674,3005.0,26.002685546875,554.0,256.0,5.2
121.541388,24.912228,1,19.543790817260742,5.388583183288574,3065.0,39.15346145629883,453.0,441.0,4.8
80.562767,6.860533,1,20.1875,7.863833427429199,3218.0,40.558311462402344,371.0,1229.0,5.3
80.41075,7.031658,1,24.873374938964844,7.473916530609131,3929.0,41.15221405029297,438.0,427.0,5.3
105.133614,21.930788,1,23.023958206176758,7.5595831871032715,1725.0,84.34660339355469,78.0,64.0,5.5
88.300155,26.819019,1,24.338417053222656,9.433499336242676,3252.0,112.35737609863281,27.0,251.0,5.5
105.133622,21.930758,1,23.023958206176758,7.5595831871032715,1725.0,84.34660339355469,78.0,64.0,5.5
80.533458,6.339814,1,23.437458038330078,6.492416858673096,3506.0,33.9451789855957,544.0,636.0,5.3
139.440499,35.64451,1,14.841291427612305,8.569916725158691,1527.0,46.71638488769531,152.0,84.0,5.5
120.778542,24.570308,1,21.494958877563477,6.607916355133057,1817.0,62.90656661987305,104.0,98.0,5.4
-43.224167,-22.966667,1,22.786882400512695,9.90216064453125,1160.0,51.41621398925781,126.0,130.0,5.5
128.72504,35.151489,1,13.289351463317871,9.286905288696289,1480.0,73.140380859375,100.0,160.0,5.5
139.302553,35.715594,1,14.05774974822998,9.369000434875488,1462.0,50.854068756103516,138.0,166.0,5.7
80.787483,6.972928,1,16.08074951171875,8.20383358001709,1936.0,29.025165557861328,320.0,1933.0,5.5
138.373861,34.990134,1,15.925185203552246,8.277036666870117,2186.0,41.97844314575195,240.0,46.0,5.1
120.844506,24.444961,1,20.038084030151367,6.1579999923706055,2290.0,73.99282836914062,110.0,411.0,5.1
120.698517,23.463411,1,17.483875274658203,5.856082916259766,2323.0,87.1006851196289,79.0,1203.0,5.2
48.414851,-18.927863,1,19.079750061035156,10.926166534423828,1766.0,72.35250854492188,168.0,968.0,4.9
120.778182,24.39771,1,20.215375900268555,6.27091646194458,2250.0,77.43557739257812,92.0,416.0,5.5
88.38,26.74,1,25.07183265686035,10.167499542236328,3218.0,113.56514739990234,24.0,124.0,5.6
88.29,27.07,1,18.310667037963867,8.494166374206543,2970.0,113.22860717773438,39.0,1551.0,5.5
88.29,26.69,1,24.756624221801758,10.02591609954834,3003.0,112.56322479248047,23.0,152.0,5.6
88.33,27.06,1,18.310667037963867,8.494166374206543,2970.0,113.22860717773438,39.0,1551.0,5.3
121.585305,24.763655,1,18.141416549682617,5.211000442504883,3060.0,43.6811408996582,434.0,788.0,5.0
80.575997,7.589497,1,25.909000396728516,8.283833503723145,1856.0,55.31163024902344,213.0,313.0,5.4
-84.33023,33.76987,1,16.429332733154297,11.482500076293945,1309.0,15.549148559570312,277.0,307.0,5.2
121.175724,24.839103,1,20.632917404174805,6.415499687194824,2255.0,42.20901870727539,249.0,239.0,5.2
91.892982,26.792483,1,23.85016632080078,9.743666648864746,2462.0,93.80606079101562,42.0,164.0,5.3
120.733904,23.808157,1,21.869667053222656,6.501333713531494,2264.0,89.85883331298828,85.0,211.0,5.5
121.359895,25.090642,1,20.514699935913086,5.743287086486816,2654.0,24.302160263061523,479.0,142.0,5.0
120.805439,24.12941,1,20.60849952697754,6.2975006103515625,2266.0,81.70225524902344,94.0,417.0,5.3
81.049107,6.873133,1,21.478166580200195,7.910666465759277,1860.0,57.36178207397461,153.0,1059.0,5.4
120.690033,23.494172,1,17.483875274658203,5.856082916259766,2323.0,87.1006851196289,79.0,1203.0,4.8
120.659524,23.560954,1,19.789417266845703,5.974332809448242,2526.0,91.66825866699219,76.0,748.0,5.0
120.710703,23.627378,1,18.191875457763672,5.840583324432373,2403.0,86.80683898925781,85.0,1030.0,5.0
48.413998,-18.937772,1,19.079750061035156,10.926166534423828,1766.0,72.35250854492188,168.0,968.0,4.8
135.332275,35.505147,1,13.928775787353516,8.305989265441895,1828.0,17.789657592773438,389.0,161.0,5.0
139.460956,35.639549,1,14.841291427612305,8.569916725158691,1527.0,46.71638488769531,152.0,84.0,5.5
-84.303185,33.802017,1,16.429332733154297,11.482500076293945,1309.0,15.549148559570312,277.0,307.0,5.5
135.781103,34.965267,1,15.328916549682617,8.96933364868164,1577.0,46.65379333496094,183.0,70.0,5.5
-84.314095,33.798338,1,16.429332733154297,11.482500076293945,1309.0,15.549148559570312,277.0,307.0,5.3
