lon,lat,temperatura_media,rango_diurno,precipitacion_anual,estacionalidad_precip,precip_trimestre_seco,elevacion,ph_suelo,prob_idoneidad
-82.90000000000018,8.05,25.924386978149414,8.888970375061035,3350.0,70.39978790283203,155.0,46.0,5.4,0.2782413940799256
-82.85000000000018,8.05,25.924386978149414,8.888970375061035,3350.0,70.39978790283203,155.0,46.0,5.5,0.29154504091281386
-82.95000000000017,8.100000000000001,25.98611068725586,8.850000381469727,3392.0,66.69017791748047,152.0,25.0,5.5,0.2239951823827588
-82.90000000000018,8.100000000000001,25.75984001159668,8.8657808303833,3276.0,67.18645477294922,140.0,77.0,5.5,0.30117524156894765
-82.85000000000018,8.100000000000001,25.75984001159668,8.8657808303833,3276.0,67.18645477294922,140.0,77.0,5.5,0.30117524156894765
-82.95000000000017,8.150000000000002,25.98611068725586,8.850000381469727,3392.0,66.69017791748047,152.0,25.0,5.5,0.2239951823827588
-82.90000000000018,8.150000000000002,25.75984001159668,8.8657808303833,3276.0,67.18645477294922,140.0,77.0,5.5,0.30117524156894765
-82.85000000000018,8.150000000000002,25.75984001159668,8.8657808303833,3276.0,67.18645477294922,140.0,77.0,5.5,0.30117524156894765
-82.95000000000017,8.200000000000003,25.68712043762207,8.978788375854492,3401.0,66.70785522460938,157.0,91.0,5.5,0.30899541534431024
-82.90000000000018,8.200000000000003,25.719749450683594,8.90583324432373,3349.0,67.67198181152344,172.0,86.0,5.4,0.3342334082576441
-82.85000000000018,8.200000000000003,25.719749450683594,8.90583324432373,3349.0,67.67198181152344,172.0,86.0,5.5,0.34047088876313214
-82.95000000000017,8.250000000000004,25.68712043762207,8.978788375854492,3401.0,66.70785522460938,157.0,91.0,5.4,0.3131280352264216
-82.90000000000018,8.250000000000004,25.719749450683594,8.90583324432373,3349.0,67.67198181152344,172.0,86.0,5.5,0.34047088876313214
-82.85000000000018,8.250000000000004,25.719749450683594,8.90583324432373,3349.0,67.67198181152344,172.0,86.0,5.5,0.34047088876313214
-83.15000000000016,8.300000000000004,25.460416793823242,9.270833969116211,3271.0,64.19673156738281,174.0,148.0,5.5,0.35806718335367715
-83.10000000000016,8.300000000000004,25.460416793823242,9.270833969116211,3271.0,64.19673156738281,174.0,148.0,5.5,0.35806718335367715
-83.05000000000017,8.300000000000004,24.435749053955078,9.291833877563477,3008.0,59.12446975708008,192.0,366.0,5.5,0.609124131606437
-83.00000000000017,8.300000000000004,24.435749053955078,9.291833877563477,3008.0,59.12446975708008,192.0,366.0,5.3,0.5639495578882726
-82.95000000000017,8.300000000000004,25.049448013305664,9.17763614654541,3089.0,54.06777572631836,249.0,242.0,5.3,0.3572499406869711
-82.90000000000018,8.300000000000004,25.89521026611328,9.052873611450195,2984.0,58.956932067871094,205.0,62.0,5.5,0.193435589253966
-82.85000000000018,8.300000000000004,25.89521026611328,9.052873611450195,2984.0,58.956932067871094,205.0,62.0,5.5,0.193435589253966
